,EPPO_CODE,preferred_name,synonym,ds_language,pivot,EFSA_PHT
238,CERSPD,Pseudocercospora pini-densiflorae,needle blight of pine,en,needle blight of pine,PseudocercosporaPiniDensiflorae-PHT
239,CERSPD,Pseudocercospora pini-densiflorae,cercosporiose des aiguilles du pin,fr,cercosporiose des aiguilles du pin,PseudocercosporaPiniDensiflorae-PHT
240,CERSPD,Pseudocercospora pini-densiflorae,cercosporiosis de las aciculas del pino,es,cercosporiosis de las aciculas del pino,PseudocercosporaPiniDensiflorae-PHT
241,CERSPD,Pseudocercospora pini-densiflorae,Коричневый ожог хвои сосны,ru,коричневый ожог хвои сосны,PseudocercosporaPiniDensiflorae-PHT
242,PUCCPT,Puccinia pittieriana,common potato rust,en,common potato rust,PucciniaPittieriana-PHT
243,PUCCPT,Puccinia pittieriana,common rust of potato,en,common rust of potato,PucciniaPittieriana-PHT
244,PUCCPT,Puccinia pittieriana,rouille de la pomme de terre,fr,rouille de la pomme de terre,PucciniaPittieriana-PHT
245,PUCCPT,Puccinia pittieriana,roya de la papa,es,roya de la papa,PucciniaPittieriana-PHT
246,PUCCPT,Puccinia pittieriana,roya de la patata,es,roya de la patata,PucciniaPittieriana-PHT
247,PUCCPT,Puccinia pittieriana,бурая ржавчина картофеля,ru,бурая ржавчина картофеля,PucciniaPittieriana-PHT
248,SEPTLM,Septoria malagutii,annular leaf spot of potato,en,annular leaf spot of potato,SeptoriaMalagutii-PHT
249,SEPTLM,Septoria malagutii,septoria leaf spot of potato,en,septoria leaf spot of potato,SeptoriaMalagutii-PHT
250,SEPTLM,Septoria malagutii,septoria leaf spot of potato,en,septoria leaf spot of potato,SphaerulinaMusiva-PHT
251,SEPTLM,Septoria malagutii,septoriosi della patata,it,septoriosi della patata,SeptoriaMalagutii-PHT
252,MYCOPP,Sphaerulina musiva,septoria canker of poplar,en,septoria canker of poplar,SphaerulinaMusiva-PHT
253,MYCOPP,Sphaerulina musiva,mancha foliar e cancro dos álamos,pt,mancha foliar e cancro dos álamos,SphaerulinaMusiva-PHT
254,GNOMUL,Stegophora ulmea,black spot of elm,en,black spot of elm,StegophoraUlmea-PHT
255,GNOMUL,Stegophora ulmea,leaf spot of elm,en,leaf spot of elm,StegophoraUlmea-PHT
256,GNOMUL,Stegophora ulmea,anthracnose de l'orme,fr,anthracnose de l'orme,StegophoraUlmea-PHT
257,GNOMUL,Stegophora ulmea,antracnosis del olmo,es,antracnosis del olmo,StegophoraUlmea-PHT
258,GNOMUL,Stegophora ulmea,Чёрная пятнистость листьев ильмовых,ru,чёрная пятнистость листьев ильмовых,StegophoraUlmea-PHT
259,THPHSO,Thecaphora solani,smut of potato,en,smut of potato,ThecaphoraSolani-PHT
260,THPHSO,Thecaphora solani,thecaphora smut of potato,en,thecaphora smut of potato,ThecaphoraSolani-PHT
262,THPHSO,Thecaphora solani,charbon de la pomme de terre,fr,charbon de la pomme de terre,ThecaphoraSolani-PHT
263,THPHSO,Thecaphora solani,carbón de la patata,es,carbón de la patata,ThecaphoraSolani-PHT
264,THPHSO,Thecaphora solani,gangrena de la papa,es,gangrena de la papa,ThecaphoraSolani-PHT
265,THPHSO,Thecaphora solani,Головня картофеля,ru,головня картофеля,ThecaphoraSolani-PHT
266,NEOVIN,Tilletia indica,Indian bunt of wheat,en,indian bunt of wheat,TilletiaIndica-PHT
267,NEOVIN,Tilletia indica,Karnal bunt of wheat,en,karnal bunt of wheat,TilletiaIndica-PHT
269,NEOVIN,Tilletia indica,partial bunt of wheat,en,partial bunt of wheat,TilletiaIndica-PHT
271,NEOVIN,Tilletia indica,carie de Karnal,fr,carie de karnal,TilletiaIndica-PHT
272,VENTNA,Venturia nashicola,scab of Japanese pear,en,scab of japanese pear,VenturiaNashicola-PHT
273,VENTNA,Venturia nashicola,tavelure du nashi,fr,tavelure du nashi,VenturiaNashicola-PHT
274,VENTNA,Venturia nashicola,tavelure du poirier du Japon,fr,tavelure du poirier du japon,VenturiaNashicola-PHT
276,VENTNA,Venturia nashicola,cribado del peral del Japón,es,cribado del peral del japón,VenturiaNashicola-PHT
278,VENTNA,Venturia nashicola,kurohoshi-byo,ja,kurohoshi-byo,VenturiaNashicola-PHT
280,NUMOPI,Acrobasis pirivorella,pear driller,en,pear driller,NumoniaPyrivorella-PHT
281,NUMOPI,Acrobasis pirivorella,pear fruit moth,en,pear fruit moth,NumoniaPyrivorella-PHT
282,NUMOPI,Acrobasis pirivorella,pear moth,en,pear moth,NumoniaPyrivorella-PHT
283,NUMOPI,Acrobasis pirivorella,pear pyralid,en,pear pyralid,NumoniaPyrivorella-PHT
284,NUMOPI,Acrobasis pirivorella,Грушевая огневка,ru,грушевая огневка,NumoniaPyrivorella-PHT
285,AGRLAX,Agrilus anxius,bronze birch borer,en,bronze birch borer,AgrilusAnxiusGory-PHT
286,AGRLAX,Agrilus anxius,agrile du bouleau,fr,agrile du bouleau,AgrilusAnxiusGory-PHT
287,AGRLAX,Agrilus anxius,perceur doré du bouleau,fr,perceur doré du bouleau,AgrilusAnxiusGory-PHT
289,AGRLAX,Agrilus anxius,Бронзовая березовая златка,ru,бронзовая березовая златка,AgrilusAnxiusGory-PHT
290,AGRLPL,Agrilus planipennis,emerald ash borer,en,emerald ash borer,AgrilusPlanipennis-PHT
291,AGRLPL,Agrilus planipennis,agrile du frêne,fr,agrile du frêne,AgrilusPlanipennis-PHT
292,AGRLPL,Agrilus planipennis,ясеневая изумрудная златка,ru,ясеневая изумрудная златка,AgrilusPlanipennis-PHT
294,AGRLPL,Agrilus planipennis,ясеневая изумрудная узкотелая златка,ru,ясеневая изумрудная узкотелая златка,AgrilusPlanipennis-PHT
297,AGRLPL,Agrilus planipennis,ясеневая узкотелая златка,ru,ясеневая узкотелая златка,AgrilusPlanipennis-PHT
298,ALECWO,Aleurocanthus woglumi,blue grey fly,en,blue grey fly,AleurocanthusWoglumi-PHT
299,ALECWO,Aleurocanthus woglumi,citrus blackfly,en,citrus blackfly,Aleurocanthus-PHT
300,ALECWO,Aleurocanthus woglumi,citrus blackfly,en,citrus blackfly,AleurocanthusSpiniferus-PHT
301,ALECWO,Aleurocanthus woglumi,citrus blackfly,en,citrus blackfly,AleurocanthusWoglumi-PHT
302,ALECWO,Aleurocanthus woglumi,citrus spring whitefly,en,citrus spring whitefly,AleurocanthusWoglumi-PHT
303,ALECWO,Aleurocanthus woglumi,schwarze Citrusmottenschildlaus,de,schwarze citrusmottenschildlaus,AleurocanthusWoglumi-PHT
304,ALECWO,Aleurocanthus woglumi,aleurode noir des agrumes,fr,aleurode noir des agrumes,AleurocanthusWoglumi-PHT
305,ALECWO,Aleurocanthus woglumi,aleurode noir des agrumes,fr,aleurode noir des agrumes,BemisiaTabaci-PHT
306,ALECWO,Aleurocanthus woglumi,mosca prieta,es,mosca prieta,AleurocanthusWoglumi-PHT
307,ALECWO,Aleurocanthus woglumi,mosca prieta de los cítricos,es,mosca prieta de los cítricos,AleurocanthusWoglumi-PHT
309,ALECWO,Aleurocanthus woglumi,mosca negra de la naranja,it,mosca negra de la naranja,AleurocanthusWoglumi-PHT
310,AMAZMA,Nemorimyza maculosa,burdock leaf miner,en,burdock leaf miner,NemorimyzaMaculosa-PHT
311,AMAZMA,Nemorimyza maculosa,chrysanthemum leaf miner,en,chrysanthemum leaf miner,NemorimyzaMaculosa-PHT
312,AMAZMA,Nemorimyza maculosa,amerikanischer Blattminierer,de,amerikanischer blattminierer,NemorimyzaMaculosa-PHT
313,AMAZMA,Nemorimyza maculosa,Хризантемовый листовой минер,ru,хризантемовый листовой минер,NemorimyzaMaculosa-PHT
314,ANMLOR,Exomala orientalis,Asiatic beetle,en,asiatic beetle,BlitoperthaOrientalis-PHT
315,ANMLOR,Exomala orientalis,oriental beetle,en,oriental beetle,BlitoperthaOrientalis-PHT
316,ANMLOR,Exomala orientalis,spotted chafer,en,spotted chafer,BlitoperthaOrientalis-PHT
317,ANOLGL,Anoplophora glabripennis,Asian longhorn beetle,en,asian longhorn beetle,AnoplophoraGlabripennis-PHT
319,ANOLGL,Anoplophora glabripennis,Asian long-horned beetle,en,asian long-horned beetle,AnoplophoraGlabripennis-PHT
320,ANOLGL,Anoplophora glabripennis,basicosta white-spotted longicorn beetle,en,basicosta white-spotted longicorn beetle,AnoplophoraGlabripennis-PHT
321,ANOLGL,Anoplophora glabripennis,starry sky beetle,en,starry sky beetle,AnoplophoraGlabripennis-PHT
322,ANOLGL,Anoplophora glabripennis,capricorne asiatique,fr,capricorne asiatique,AnoplophoraGlabripennis-PHT
323,ANOLGL,Anoplophora glabripennis,longicorne asiatique,fr,longicorne asiatique,AnoplophoraGlabripennis-PHT
324,ANOLGL,Anoplophora glabripennis,escarabajo asiático de antenas largas,es,escarabajo asiático de antenas largas,AnoplophoraGlabripennis-PHT
325,ANOLGL,Anoplophora glabripennis,escarabajo asiático de cuernos largos,es,escarabajo asiático de cuernos largos,AnoplophoraGlabripennis-PHT
326,ANOLGL,Anoplophora glabripennis,tarlo asiatico del fusto,it,tarlo asiatico del fusto,AnoplophoraChinensis-PHT
327,ANOLGL,Anoplophora glabripennis,tarlo asiatico del fusto,it,tarlo asiatico del fusto,AnoplophoraGlabripennis-PHT
328,ANOLGL,Anoplophora glabripennis,Aziatische boktor,nl,aziatische boktor,AnoplophoraGlabripennis-PHT
329,ANOLGL,Anoplophora glabripennis,loofhoutboktor,nl,loofhoutboktor,AnoplophoraGlabripennis-PHT
330,ANOLGL,Anoplophora glabripennis,азиатский усач,ru,азиатский усач,AnoplophoraGlabripennis-PHT
332,ANOLGL,Anoplophora glabripennis,Азиатский усач,ru,азиатский усач,AnoplophoraGlabripennis-PHT
334,ANTHBI,Anthonomus bisignifer,Japanese strawberry blossom weevil,en,japanese strawberry blossom weevil,AnthonomusBisignifer-PHT
335,ANTHBI,Anthonomus bisignifer,Japanese strawberry weevil,en,japanese strawberry weevil,AnthonomusBisignifer-PHT
336,ANTHBI,Anthonomus bisignifer,itigo-hana-zomusi,ja,itigo-hana-zomusi,AnthonomusBisignifer-PHT
337,ANTHBI,Anthonomus bisignifer,イチゴハナゾムシ,ja,イチゴハナゾムシ,AnthonomusBisignifer-PHT
338,ANTHEU,Anthonomus eugenii,pepper weevil,en,pepper weevil,AnthonomusEugeniiCano-PHT
339,ANTHEU,Anthonomus eugenii,Paprikarüssler,de,paprikarüssler,AnthonomusEugeniiCano-PHT
340,ANTHEU,Anthonomus eugenii,Pfefferkäfer,de,pfefferkäfer,AnthonomusEugeniiCano-PHT
341,ANTHEU,Anthonomus eugenii,barrenillo del Chile,es,barrenillo del chile,AnthonomusEugeniiCano-PHT
342,ANTHEU,Anthonomus eugenii,picudo del Chile,es,picudo del chile,AnthonomusEugeniiCano-PHT
343,ANTHEU,Anthonomus eugenii,biber goz kurdu,tr,biber goz kurdu,AnthonomusEugeniiCano-PHT
344,ANTHGR,Anthonomus grandis grandis,boll weevil,en,boll weevil,AnthonomusGrandis-PHT
345,ANTHGR,Anthonomus grandis grandis,cotton boll weevil,en,cotton boll weevil,AnthonomusGrandis-PHT
346,ANTHGR,Anthonomus grandis grandis,Mexican cotton boll weevil,en,mexican cotton boll weevil,AnthonomusGrandis-PHT
347,ANTHGR,Anthonomus grandis grandis,thurberia weevil,en,thurberia weevil,AnthonomusGrandis-PHT
348,ANTHGR,Anthonomus grandis grandis,mexikanischer Baumwollkapselkäfer,de,mexikanischer baumwollkapselkäfer,AnthonomusGrandis-PHT
349,ANTHGR,Anthonomus grandis grandis,anthonome du cotonnier,fr,anthonome du cotonnier,AnthonomusGrandis-PHT
350,ANTHGR,Anthonomus grandis grandis,charançon américain de la capsule,fr,charançon américain de la capsule,AnthonomusGrandis-PHT
351,ANTHGR,Anthonomus grandis grandis,charançon du cotonnier,fr,charançon du cotonnier,AnthonomusGrandis-PHT
352,ANTHGR,Anthonomus grandis grandis,grillo de la capsula del algodonero,es,grillo de la capsula del algodonero,AnthonomusGrandis-PHT
353,ANTHGR,Anthonomus grandis grandis,picudo del algodonero,es,picudo del algodonero,AnthonomusGrandis-PHT
354,ANTHGR,Anthonomus grandis grandis,antonomo del cotone,it,antonomo del cotone,AnthonomusGrandis-PHT
355,ANTHGR,Anthonomus grandis grandis,pamuk goz kurdu,tr,pamuk goz kurdu,AnthonomusGrandis-PHT
356,ANTHGR,Anthonomus grandis grandis,susske ghusake panbeh,fa,susske ghusake panbeh,AnthonomusGrandis-PHT
357,TACYQU,Anthonomus quadrigibbus,apple curculio,en,apple curculio,TachypterellusQuadrigibbus-PHT
358,TACYQU,Anthonomus quadrigibbus,large apple curculio,en,large apple curculio,TachypterellusQuadrigibbus-PHT
359,TACYQU,Anthonomus quadrigibbus,western curculio,en,western curculio,TachypterellusQuadrigibbus-PHT
360,TACYQU,Anthonomus quadrigibbus,amerikanischer Apfelrüssler,de,amerikanischer apfelrüssler,TachypterellusQuadrigibbus-PHT
362,TACYQU,Anthonomus quadrigibbus,charançon de la pomme,fr,charançon de la pomme,TachypterellusQuadrigibbus-PHT
363,ANTHSI,Anthonomus signatus,strawberry bud weevil,en,strawberry bud weevil,AnthonomusSignatus-PHT
364,ANTHSI,Anthonomus signatus,strawberry clipper,en,strawberry clipper,AnthonomusSignatus-PHT
365,ANTHSI,Anthonomus signatus,strawberry weevil,en,strawberry weevil,AnthonomusBisignifer-PHT
366,ANTHSI,Anthonomus signatus,strawberry weevil,en,strawberry weevil,AnthonomusSignatus-PHT
367,ANTHSI,Anthonomus signatus,anthonome de la fleur du fraisier,fr,anthonome de la fleur du fraisier,AnthonomusSignatus-PHT
368,ANTHSI,Anthonomus signatus,charançon du fraisier,fr,charançon du fraisier,AnthonomusSignatus-PHT
369,ANTHSI,Anthonomus signatus,cilek goz kurdu,tr,cilek goz kurdu,AnthonomusSignatus-PHT
370,ARRHMI,Arrhenodes minutus,oak timberworm,en,oak timberworm,ArrhenodesMinutus-PHT
371,ARRHMI,Arrhenodes minutus,charançon du chêne,fr,charançon du chêne,ArrhenodesMinutus-PHT
372,ASCXEP,Aschistonyx eppoi,juniper gall midge,en,juniper gall midge,AschistonyxEppoi-PHT
373,ASCXEP,Aschistonyx eppoi,cécidomyie du genévrier,fr,cécidomyie du genévrier,AschistonyxEppoi-PHT
374,PARZCO,Bactericera cockerelli,potato psyllid,en,potato psyllid,BactericeraCockerelli-PHT
375,PARZCO,Bactericera cockerelli,tomato psyllid,en,tomato psyllid,BactericeraCockerelli-PHT
376,PARZCO,Bactericera cockerelli,amerikanischer Kartoffelblattsauger,de,amerikanischer kartoffelblattsauger,BactericeraCockerelli-PHT
377,PARZCO,Bactericera cockerelli,Tomatenblattsauger,de,tomatenblattsauger,BactericeraCockerelli-PHT
378,PARZCO,Bactericera cockerelli,pulgón saltador de la papa,es,pulgón saltador de la papa,BactericeraCockerelli-PHT
379,BEMITA,Bemisia tabaci,cassava whitefly,en,cassava whitefly,BemisiaTabaci-PHT
380,BEMITA,Bemisia tabaci,cotton whitefly,en,cotton whitefly,BemisiaTabaci-PHT
381,BEMITA,Bemisia tabaci,silver-leaf whitefly,en,silver-leaf whitefly,BemisiaTabaci-PHT
382,BEMITA,Bemisia tabaci,sweet-potato whitefly,en,sweet-potato whitefly,BemisiaTabaci-PHT
383,BEMITA,Bemisia tabaci,tobacco whitefly,en,tobacco whitefly,BemisiaTabaci-PHT
384,BEMITA,Bemisia tabaci,Baumwollmottenschildlaus,de,baumwollmottenschildlaus,BemisiaTabaci-PHT
385,BEMITA,Bemisia tabaci,Tabakmottenschildlaus,de,tabakmottenschildlaus,BemisiaTabaci-PHT
386,BEMITA,Bemisia tabaci,weiße Fliege,de,weiße fliege,BemisiaTabaci-PHT
387,BEMITA,Bemisia tabaci,aleurode,fr,aleurode,BemisiaTabaci-PHT
388,BEMITA,Bemisia tabaci,aleurode de la patate douce,fr,aleurode de la patate douce,BemisiaTabaci-PHT
390,BEMITA,Bemisia tabaci,aleurode du cotonnier,fr,aleurode du cotonnier,BemisiaTabaci-PHT
392,BEMITA,Bemisia tabaci,aleurode du tabac,fr,aleurode du tabac,BemisiaTabaci-PHT
394,BEMITA,Bemisia tabaci,mosquita blanca del tabaco,es,mosquita blanca del tabaco,BemisiaTabaci-PHT
395,BEMITA,Bemisia tabaci,aleirode delle solanacee,it,aleirode delle solanacee,BemisiaTabaci-PHT
396,BEMITA,Bemisia tabaci,aleurode delle solanacee,it,aleurode delle solanacee,BemisiaTabaci-PHT
398,BEMITA,Bemisia tabaci,mosca-branca-da-batata-doce,pt,mosca-branca-da-batata-doce,BemisiaTabaci-PHT
399,BEMITA,Bemisia tabaci,mosca-branca-do-feijão,pt,mosca-branca-do-feijão,BemisiaTabaci-PHT
407,BEMITA,Bemisia tabaci,beyaz sinek,tr,beyaz sinek,BemisiaTabaci-PHT
408,BEMITA,Bemisia tabaci,knimat ash hatabak,he,knimat ash hatabak,BemisiaTabaci-PHT
409,CARSSA,Carposina sasakii,peach fruit borer,en,peach fruit borer,CarposinaNiponensis-PHT
410,CARSSA,Carposina sasakii,peach fruit borer,en,peach fruit borer,CarposinaSasakii-PHT
411,CARSSA,Carposina sasakii,peach fruit moth,en,peach fruit moth,CarposinaNiponensis-PHT
412,CARSSA,Carposina sasakii,peach fruit moth,en,peach fruit moth,CarposinaSasakii-PHT
413,CARSSA,Carposina sasakii,carpocapse du pêcher,fr,carpocapse du pêcher,CarposinaNiponensis-PHT
414,CARSSA,Carposina sasakii,carpocapse du pêcher,fr,carpocapse du pêcher,CarposinaSasakii-PHT
415,CARSSA,Carposina sasakii,momo-hime-shinkui,ja,momo-hime-shinkui,CarposinaSasakii-PHT
416,CARSSA,Carposina sasakii,momo-shinkui-ga,ja,momo-shinkui-ga,CarposinaSasakii-PHT
417,CARNFU,Xyphon fulgidum,red-headed sharpshooter,en,red-headed sharpshooter,XyphonFulgidum-PHT
418,DRAEMI,Draeculacephala minerva,grass sharpshooter,en,grass sharpshooter,DraeculacephalaMinerva-PHT
419,GRCPAT,Graphocephala atropunctata,blue-green sharpshooter,en,blue-green sharpshooter,GraphocephalaAtropunctata-PHT
420,HOMLTR,Homalodisca vitripennis,cicadelle pisseuse,fr,cicadelle pisseuse,HomalodiscaVitripennis-PHT
421,HOMLTR,Homalodisca vitripennis,chicharrita de alas cristalinas,es,chicharrita de alas cristalinas,HomalodiscaVitripennis-PHT
422,HOMLTR,Homalodisca vitripennis,chicharrita del henequén,es,chicharrita del henequén,HomalodiscaVitripennis-PHT
423,CONHNE,Conotrachelus nenuphar,plum curculio,en,plum curculio,ConotrachelusNenuphar-PHT
424,CONHNE,Conotrachelus nenuphar,plum weevil,en,plum weevil,ConotrachelusNenuphar-PHT
425,CONHNE,Conotrachelus nenuphar,nordamerikanischer Pflaumenrüssler,de,nordamerikanischer pflaumenrüssler,ConotrachelusNenuphar-PHT
426,CONHNE,Conotrachelus nenuphar,charançon américain du prunier,fr,charançon américain du prunier,ConotrachelusNenuphar-PHT
427,CONHNE,Conotrachelus nenuphar,charançon de la prune,fr,charançon de la prune,ConotrachelusNenuphar-PHT
429,CONHNE,Conotrachelus nenuphar,Плодовый долгоносик,ru,плодовый долгоносик,ConotrachelusNenuphar-PHT
430,DENDSI,Dendrolimus sibiricus,larch caterpillar,en,larch caterpillar,DendrolimuSibiricus-PHT
431,DENDSI,Dendrolimus sibiricus,Siberian conifer silk moth,en,siberian conifer silk moth,DendrolimuSibiricus-PHT
432,DENDSI,Dendrolimus sibiricus,Siberian lasiocampid,en,siberian lasiocampid,DendrolimuSibiricus-PHT
433,DENDSI,Dendrolimus sibiricus,Siberian moth,en,siberian moth,DendrolimuSibiricus-PHT
434,DENDSI,Dendrolimus sibiricus,Siberian silk moth,en,siberian silk moth,DendrolimuSibiricus-PHT
435,DENDSI,Dendrolimus sibiricus,sibirischer Arvenspinner,de,sibirischer arvenspinner,DendrolimuSibiricus-PHT
437,DIABLO,Diabrotica barberi,northern corn rootworm,en,northern corn rootworm,DiabroticaBarberi-PHT
438,DIABLO,Diabrotica barberi,chrysomèle des racines du maïs,fr,chrysomèle des racines du maïs,DiabroticaBarberi-PHT
439,DIABLO,Diabrotica barberi,diabrotica de antenas cargas,es,diabrotica de antenas cargas,DiabroticaBarberi-PHT
440,DIABLO,Diabrotica barberi,gusano de la raíz del maíz,es,gusano de la raíz del maíz,DiabroticaBarberi-PHT
441,DIABLO,Diabrotica barberi,tortuguilla de la raíz del maíz,es,tortuguilla de la raíz del maíz,DiabroticaBarberi-PHT
442,DIABLO,Diabrotica barberi,Северный кукурузный жук,ru,северный кукурузный жук,DiabroticaBarberi-PHT
443,DIABUH,Diabrotica undecimpunctata howardi,southern corn rootworm,en,southern corn rootworm,DiabroticaUndecimpunctataHowardi-PHT
444,DIABUH,Diabrotica undecimpunctata howardi,spotted cucumber beetle,en,spotted cucumber beetle,DiabroticaUndecimpunctataHowardi-PHT
445,DIABUH,Diabrotica undecimpunctata howardi,chrysomèle maculée du concombre,fr,chrysomèle maculée du concombre,DiabroticaUndecimpunctataHowardi-PHT
446,DIABUH,Diabrotica undecimpunctata howardi,diabrótica del cacahuate,es,diabrótica del cacahuate,DiabroticaUndecimpunctataHowardi-PHT
447,DIABUH,Diabrotica undecimpunctata howardi,doradilla del cacahuate,es,doradilla del cacahuate,DiabroticaUndecimpunctataHowardi-PHT
448,DIABUH,Diabrotica undecimpunctata howardi,tartuguilla manchada,es,tartuguilla manchada,DiabroticaUndecimpunctataHowardi-PHT
449,DIABUN,Diabrotica undecimpunctata undecimpunctata,corn budworm,en,corn budworm,DiabroticaUndecimpunctataUndecimpunctata-PHT
450,DIABUN,Diabrotica undecimpunctata undecimpunctata,corn budworm,en,corn budworm,SpodopteraFrugiperda-PHT
451,DIABUN,Diabrotica undecimpunctata undecimpunctata,western spotted cucumber beetle,en,western spotted cucumber beetle,DiabroticaUndecimpunctataUndecimpunctata-PHT
452,DIABUN,Diabrotica undecimpunctata undecimpunctata,escarabajo tortuguilla del espárago,es,escarabajo tortuguilla del espárago,DiabroticaUndecimpunctataUndecimpunctata-PHT
453,DIABUN,Diabrotica undecimpunctata undecimpunctata,tortuguilla del espárago,es,tortuguilla del espárago,DiabroticaUndecimpunctataUndecimpunctata-PHT
454,DIABVZ,Diabrotica virgifera zeae,Mexican corn rootworm,en,mexican corn rootworm,DiabroticaVirgiferaZeae-PHT
455,DIAACI,Diaphorina citri,Asian citrus psyllid,en,asian citrus psyllid,DiaphorinaCitriKuway-PHT
456,DIAACI,Diaphorina citri,citrus psylla,en,citrus psylla,TriozaErytreae-PHT
458,TRIZER,Trioza erytreae,citrus psylla,en,citrus psylla,TriozaErytreae-PHT
460,DIAACI,Diaphorina citri,citrus psyllid,en,citrus psyllid,TriozaErytreae-PHT
462,TRIZER,Trioza erytreae,citrus psyllid,en,citrus psyllid,TriozaErytreae-PHT
464,DIAACI,Diaphorina citri,südostasiatischer Citrusblattfloh,de,südostasiatischer citrusblattfloh,DiaphorinaCitriKuway-PHT
465,EOTELE,Eotetranychus lewisi,Lewis spider mite,en,lewis spider mite,EotetranychusLewisi-PHT
466,EOTELE,Eotetranychus lewisi,araña roja del duraznero,es,araña roja del duraznero,EotetranychusLewisi-PHT
467,EOTELE,Eotetranychus lewisi,ácaro-da-poinsetia,pt,ácaro-da-poinsetia,EotetranychusLewisi-PHT
468,EOTELE,Eotetranychus lewisi,ácaro-do-pessegueiro,pt,ácaro-do-pessegueiro,EotetranychusLewisi-PHT
469,CYDIIN,Grapholita inopinata,Manchurian fruit moth,en,manchurian fruit moth,GrapholitaInopinata-PHT
470,LASPPA,Grapholita packardi,cherry fruit worm,en,cherry fruit worm,GrapholitaPackardi-PHT
471,LASPPA,Grapholita packardi,phalène des cerises,fr,phalène des cerises,GrapholitaPackardi-PHT
472,LASPPA,Grapholita packardi,palomilla de las cerezas,es,palomilla de las cerezas,GrapholitaPackardi-PHT
473,LASPPR,Grapholita prunivora,lesser apple worm,en,lesser apple worm,GrapholitaPrunivora-PHT
474,LASPPR,Grapholita prunivora,plum moth,en,plum moth,GrapholitaPrunivora-PHT
475,LASPPR,Grapholita prunivora,petite pyrale de la pomme,fr,petite pyrale de la pomme,GrapholitaPrunivora-PHT
476,HELIZE,Helicoverpa zea,American bollworm,en,american bollworm,HelicoverpaZea-PHT
477,HELIZE,Helicoverpa zea,American cotton bollworm,en,american cotton bollworm,HelicoverpaZea-PHT
478,HELIZE,Helicoverpa zea,corn earworm,en,corn earworm,HelicoverpaZea-PHT
479,HELIZE,Helicoverpa zea,cotton bollworm,en,cotton bollworm,HelicoverpaZea-PHT
480,HELIZE,Helicoverpa zea,New World bollworm,en,new world bollworm,HelicoverpaZea-PHT
481,HELIZE,Helicoverpa zea,tomato fruitworm,en,tomato fruitworm,HelicoverpaZea-PHT
482,HELIZE,Helicoverpa zea,amerikanischer Baumwollkapselwurm,de,amerikanischer baumwollkapselwurm,HelicoverpaZea-PHT
483,HELIZE,Helicoverpa zea,chenille des épis du maïs,fr,chenille des épis du maïs,HelicoverpaZea-PHT
484,HELIZE,Helicoverpa zea,noctuelle des tomates,fr,noctuelle des tomates,HelicoverpaZea-PHT
485,HELIZE,Helicoverpa zea,ver de la capsule,fr,ver de la capsule,HelicoverpaZea-PHT
486,HELIZE,Helicoverpa zea,gusano bellotero del algodón,es,gusano bellotero del algodón,HelicoverpaZea-PHT
488,HELIZE,Helicoverpa zea,gusano de la mazorca del maíz,es,gusano de la mazorca del maíz,HelicoverpaZea-PHT
489,HELIZE,Helicoverpa zea,isoca del maíz,es,isoca del maíz,HelicoverpaZea-PHT
490,HELIZE,Helicoverpa zea,noctua del tomate,es,noctua del tomate,HelicoverpaZea-PHT
491,HELIZE,Helicoverpa zea,elotide del cotone,it,elotide del cotone,HelicoverpaZea-PHT
492,HELIZE,Helicoverpa zea,elotide del granturco,it,elotide del granturco,HelicoverpaZea-PHT
493,HELIZE,Helicoverpa zea,elotide del pomodoro,it,elotide del pomodoro,HelicoverpaZea-PHT
494,HELIZE,Helicoverpa zea,elotide del tomato,it,elotide del tomato,HelicoverpaZea-PHT
495,HELIZE,Helicoverpa zea,nottua del granturco,it,nottua del granturco,HelicoverpaZea-PHT
496,HELIZE,Helicoverpa zea,nottua gialla del granturco,it,nottua gialla del granturco,HelicoverpaZea-PHT
497,HELIZE,Helicoverpa zea,lagarta-das-espigas,pt,lagarta-das-espigas,HelicoverpaZea-PHT
498,HELIZE,Helicoverpa zea,Американская кукурузная совка,ru,американская кукурузная совка,HelicoverpaZea-PHT
499,HELIZE,Helicoverpa zea,amerikansk bomuldsugle,da,amerikansk bomuldsugle,HelicoverpaZea-PHT
500,HELIZE,Helicoverpa zea,yesil kurt,tr,yesil kurt,HelicoverpaZea-PHT
501,GNORLY,Keiferia lycopersicella,tomato pinworm,en,tomato pinworm,KeiferiaLycopersicella-PHT
502,GNORLY,Keiferia lycopersicella,mineuse de la tomate,fr,mineuse de la tomate,KeiferiaLycopersicella-PHT
503,GNORLY,Keiferia lycopersicella,cogollero del tomate,es,cogollero del tomate,KeiferiaLycopersicella-PHT
504,GNORLY,Keiferia lycopersicella,enrollador de la hoja del tomate,es,enrollador de la hoja del tomate,KeiferiaLycopersicella-PHT
505,GNORLY,Keiferia lycopersicella,gusano aguja,es,gusano aguja,KeiferiaLycopersicella-PHT
506,GNORLY,Keiferia lycopersicella,minador del tomate,es,minador del tomate,KeiferiaLycopersicella-PHT
507,LOPLJA,Lopholeucaspis japonica,Japanese long scale,en,japanese long scale,LopholeucaspisJaponica-PHT
508,LOPLJA,Lopholeucaspis japonica,Japanese pear white scale,en,japanese pear white scale,LopholeucaspisJaponica-PHT
509,LOPLJA,Lopholeucaspis japonica,kermès japonais,fr,kermès japonais,LopholeucaspisJaponica-PHT
