,synonym,ds_language,NCBI_TAXID,preferred_name,re,match_language,EFSA_PHT,EPPO_CODE
1483,curly top of beet,en,,Beet curly top virus,,,"('BeetCurlyTopVirus-PHT',)","('BCTV00',)"
1485,curly top of sugarbeet,en,,Beet curly top virus,,,"('BeetCurlyTopVirus-PHT',)","('BCTV00',)"
1487,green dwarf of potato,en,,Beet curly top virus,,,"('BeetCurlyTopVirus-PHT',)","('BCTV00',)"
1489,yellows of tomato,en,,Beet curly top virus,,,"('BeetCurlyTopVirus-PHT',)","('BCTV00',)"
1491,vírus do encaracolado da beterraba,pt,,Beet curly top virus,,,"('BeetCurlyTopVirus-PHT',)","('BCTV00',)"
1493,vírus latente da franboeseira preta,pt,,Tobacco streak virus black raspberry latent strain,,,"('TobaccoStreakVirusBlackRaspberryLatentStrain-PHT',)","('TSVBL0',)"
1495,cadang cadang,en,,Coconut cadang-cadang viroid,,,"('CoconutCadangCadangViroid-PHT',)","('CCCVD0',)"
1497,yellow mottling of palms,en,,Coconut cadang-cadang viroid,,,"('CoconutCadangCadangViroid-PHT',)","('CCCVD0',)"
1499,vírus da necrose do caule de crisântemo,pt,,Chrysanthemum stem necrosis virus,,,"('ChrysanthemumStemNecrosis-PHT',)","('CSNV00',)"
1501,bud-union decline of citrus,en,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1503,die-back of lime,en,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1505,quick decline of citrus,en,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1507,seedling yellows of citrus,en,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1509,stem pitting of grapefruit,en,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1511,tristeza of citrus,en,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1513,Tristeza-Krankheit,de,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1515,tristeza des agrumes,fr,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1517,podredumbre de la raicillas de los cítricos,es,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1519,tristeza de los agrios,es,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1521,tristeza de los cítricos,es,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1523,vírus da tristeza dos citrinos,pt,,Citrus tristeza virus,,,"('CitrusTristezaVirus-PHT',)","('CTV000',)"
1525,citrus leprosis,en,,Citrus leprosis disease,,,"('CitrusLeprosisVirus-PHT',)","('CILVC2', 'CILVC0', 'CILV00', 'HGSV20')"
1526,citrus leprosis,en,,Citrus leprosis virus C,,,"('CitrusLeprosisVirus-PHT',)","('CILVC2', 'CILVC0', 'CILV00', 'HGSV20')"
1527,citrus leprosis,en,,Citrus leprosis virus C2,,,"('CitrusLeprosisVirus-PHT',)","('CILVC2', 'CILVC0', 'CILV00', 'HGSV20')"
1528,citrus leprosis,en,,Hibiscus green spot virus 2,,,"('CitrusLeprosisVirus-PHT',)","('CILVC2', 'CILVC0', 'CILV00', 'HGSV20')"
1533,leprosis of citrus,en,,Citrus leprosis disease,,,"('CitrusLeprosisVirus-PHT',)","('CILV00',)"
1535,léprose des agrumes,fr,,Citrus leprosis disease,,,"('CitrusLeprosisVirus-PHT',)","('CILV00',)"
1537,lepra explosiva de los cítricos,es,,Citrus leprosis disease,,,"('CitrusLeprosisVirus-PHT',)","('CILV00',)"
1539,leprose-dos-citros,pt,,Citrus leprosis disease,,,"('CitrusLeprosisVirus-PHT',)","('CILV00',)"
1541,bronze leaf wilt of coconut,en,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1543,lethal yellowing of coconut,en,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1545,jaunisse létale des palmiers,fr,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1547,jaunissement mortel du cocotier,fr,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1549,pourriture du bourgeon terminal du cocotier,fr,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1551,amarillamiento letal del cocotero,es,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1553,amarillo letal de las palmeras,es,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1555,pudrición del cogollo,es,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1557,fitoplasma do amarelecimento letal da palmeira,pt,,Coconut lethal yellowing phytoplasma,,,"('PalmLethalYellowingPhytoplasmas-PHT',)","('PHYP56',)"
1559,vírus latente andino da batateira,pt,,Andean potato latent virus,,,"('AndeanPotatoLatentVirus-PHT',)","('APLV00',)"
1561,Andean mottle of potato,en,,Andean potato mottle virus,,,"('AndeanPotatoMottleVirus-PHT',)","('APMOV0',)"
1563,vírus marmoreado andino da batateira,pt,,Andean potato mottle virus,,,"('AndeanPotatoMottleVirus-PHT',)","('APMOV0',)"
1565,Andean calico of potato,en,,Potato black ringspot virus,,,"('PotatoBlackRingspotVirus-PHT',)","('PBRSV0',)"
1567,calico de la pomme de terre,fr,,Potato black ringspot virus,,,"('PotatoBlackRingspotVirus-PHT',)","('PBRSV0',)"
1569,vírus dos anéis negros da batateira,pt,,Potato black ringspot virus,,,"('PotatoBlackRingspotVirus-PHT',)","('PBRSV0',)"
1571,vírus T da batateira,pt,,Potato virus T,,,"('PotatoVirusT-PHT',)","('PVT000',)"
1573,Теповирус Т картофеля,ru,,Potato virus T,,,"('PotatoVirusT-PHT',)","('PVT000',)"
1575,common mosaic of potato,en,,Potato virus A,,,"('PotatoVirusA-PHT',)","('PVA000',)"
1577,mild mosaic of potato,en,,Potato virus A,,,"('PotatoVirusA-PHT',)","('PVA000',)"
1579,veinal mosaic of potato,en,,Potato virus A,,,"('PotatoVirusA-PHT',)","('PVA000',)"
1581,potato leafroll virus,en,,Potato leafroll virus,,,"('PotatoLeafrollVirus-PHT',)","('PLRV00',)"
1583,potato phloem necrosis virus,en,,Potato leafroll virus,,,"('PotatoLeafrollVirus-PHT',)","('PLRV00',)"
1585,vírus do enrolamento da batateira,pt,,Potato leafroll virus,,,"('PotatoLeafrollVirus-PHT',)","('PLRV00',)"
1587,dwarf disease of satsuma,en,,Satsuma dwarf virus,,,"('CitrusYellowMosaicVirus-PHT', 'SatsumaDwarfVirus-PHT')","('SDV000',)"
1590,vírus do mosaico dos citrinos,pt,,Satsuma dwarf virus,,,"('SatsumaDwarfVirus-PHT',)","('SDV000',)"
1592,toramikan,ja,,Satsuma dwarf virus,,,"('CitrusYellowMosaicVirus-PHT', 'SatsumaDwarfVirus-PHT')","('SDV000',)"
1595,bud blight of soybean,en,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1597,necrosis of anemone,en,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1599,necrotic ring spot of blueberry,en,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1601,pemberton disease of blueberry,en,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1603,ring spot of soybean,en,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1605,ring spot of tobacco,en,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1607,virus des taches en anneaux du tabac,fr,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1609,virus de la mancha anular del tabaco,es,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1611,maculatura anulare del tabaco,it,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1613,tabak-ringspotziekte,nl,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1615,vírus dos anéis do tabaco,pt,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1617,вирус кольцевой пятнистости табака,ru,,Tobacco ringspot virus,,,"('TobaccoRingspotVirus-PHT',)","('TRSV00',)"
1619,chlorosis mosaic of raspberry,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1621,chlorosis of pelargonium,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1623,crumbly fruit of raspberry,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1625,decline of raspberry,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1627,eola rasp leaf of cherry,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1629,ringspot of tomato,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1631,stem pitting of prunus,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1633,stub head of gladiolus,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1635,stunt of gladiolus,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1637,union necrosis of apple,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1639,yellow blotch curl of raspberry,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1641,yellow bud mosaic of peach,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1643,yellow vein of grapevine,en,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1645,vírus dos anéis do tomateiro,pt,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1647,Неповирус кольцевой пятнистости томата,ru,,Tomato ringspot virus,,,"('TomatoRingspotVirus-PHT',)","('TORSV0',)"
1649,vírus do marmoreado folear do mirtilo,pt,,Blueberry leaf mottle virus,,,"('BlueberryLeafMottleVirus-PHT',)","('BLMOV0',)"
1651,American rasp leaf of cherry,en,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1653,rasp leaf of cherry,en,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1655,Rauhblättrigkeit der Kirsche,de,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1657,feuilles râpeuses du cerisier,fr,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1659,hoja áspera del cerezo,es,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1661,vírus da folha áspera da cerejeira,pt,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1663,Черавирус рашпилевидности листьев черешни,ru,,Cherry rasp leaf virus,,,"('CherryRaspLeafVirus-PHT',)","('CRLV00',)"
1665,American mosaic of peach,en,,Peach mosaic virus,,,"('PeachMosaicVirus-PHT',)","('PCMV00',)"
1667,blotch of peach,en,,Peach mosaic virus,,,"('PeachMosaicVirus-PHT',)","('PCMV00',)"
1669,calico of peach,en,,Peach mosaic virus,,,"('PeachMosaicVirus-PHT',)","('PCMV00',)"
1671,mosaic of peach,en,,Peach mosaic virus,,,"('PeachMosaicVirus-PHT',)","('PCMV00',)"
1673,mosaïque américaine du pêcher,fr,,Peach mosaic virus,,,"('PeachMosaicVirus-PHT',)","('PCMV00',)"
1675,vírus do mosaico do pessegueiro,pt,,Peach mosaic virus,,,"('PeachMosaicVirus-PHT',)","('PCMV00',)"
1677,rosette mosaic of peach,en,,Peach rosette mosaic virus,,,"('PeachRosetteMosaicVirus-PHT',)","('PRMV00',)"
1679,vírus da roseta do pessegueiro,pt,,Peach rosette mosaic virus,,,"('PeachRosetteMosaicVirus-PHT',)","('PRMV00',)"
1681,Неповирус розеточной мозаики персика,ru,,Peach rosette mosaic virus,,,"('PeachRosetteMosaicVirus-PHT',)","('PRMV00',)"
1683,American line pattern of plum,en,,American plum line pattern virus,,,"('AmericanPlumLinePatternVirus-PHT',)","('APLPV0',)"
1685,banded chlorosis of oriental flowering cherry,en,,American plum line pattern virus,,,"('AmericanPlumLinePatternVirus-PHT',)","('APLPV0',)"
1687,amerikanisches Pflaumenbandmosaikvirus,de,,American plum line pattern virus,,,"('AmericanPlumLinePatternVirus-PHT',)","('APLPV0',)"
1689,vírus dos arabescos da ameixeira americana,pt,,American plum line pattern virus,,,"('AmericanPlumLinePatternVirus-PHT',)","('APLPV0',)"
1691,American leaf curl of raspberry,en,,Raspberry leaf curl virus,,,"('RaspberryLeafCurlVirus-PHT',)","('RLCV00',)"
1693,leaf curl of raspberry,en,,Raspberry leaf curl virus,,,"('RaspberryLeafCurlVirus-PHT',)","('RLCV00',)"
1695,vírus do encaracolado da framboeseira,pt,,Raspberry leaf curl virus,,,"('RaspberryLeafCurlVirus-PHT',)","('RLCV00',)"
1697,witches' broom of strawberry,en,,Strawberry witches' broom phytoplasma,,,"('CandidatusPhytoplasmaMali-PHT',)","('SYWB00',)"
1699,angular mosaic of beans,en,,Cowpea mild mottle virus,,,"('CowpeaMildMottleVirus-PHT',)","('CPMMV0',)"
1701,mild mottle of cowpea,en,,Cowpea mild mottle virus,,,"('CowpeaMildMottleVirus-PHT',)","('CPMMV0',)"
1703,pale chlorosis of tomato,en,,Cowpea mild mottle virus,,,"('CowpeaMildMottleVirus-PHT',)","('CPMMV0',)"
1705,vírus do marmoreado suave do feijão-frade,pt,,Cowpea mild mottle virus,,,"('CowpeaMildMottleVirus-PHT',)","('CPMMV0',)"
1707,infectious yellows of lettuce,en,,Lettuce infectious yellows virus,,,"('LettuceInfectiousYellowsVirus-PHT',)","('LIYV00',)"
1709,vírus dos amrelos infeciosos da alface,pt,,Lettuce infectious yellows virus,,,"('LettuceInfectiousYellowsVirus-PHT',)","('LIYV00',)"
1711,mild mottle of sweet potato,en,,Sweet potato mild mottle virus,,,"('SweetPotatoMildMottleVirus-PHT',)","('SPMMV0',)"
1713,chocolate spot,en,,Tomato chocolàte virus,,,"('TomatoChocolateVirus-PHT',)","('TOCHV0',)"
1715,mancha de chocolate,es,,Tomato chocolàte virus,,,"('TomatoChocolateVirus-PHT',)","('TOCHV0',)"
1717,witches' broom of lime,en,,'Candidatus Phytoplasma aurantifolia',,,"('CandidatusPhytoplasmaMali-PHT',)","('PHYPAF',)"
1719,bacterial ring rot of potato,en,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1721,ring rot of potato,en,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1723,vascular wilt of potato,en,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1725,bactériose annulaire de la pomme de terre,fr,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1727,flétrissement bactérien de la pomme de terre,fr,,Clavibacter sepedonicus,,,"('RalstoniaSolanacearum-PHT', 'ClavibacterMichiganensisSepedonicus-PHT')","('CORBSE',)"
1730,pourriture annulaire de la pomme de terre,fr,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1732,bacteriosis anular de la patata,es,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1734,podredumbre anular de la papa,es,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1736,podredumbre anular de la patata,es,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1738,marciume anulare della patata,it,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1740,ringrot,nl,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1742,podridão-anelar-bacteriana-da-batata,pt,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1744,ljus ringröta,sv,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1746,кольцевая гниль картофеля,ru,,Clavibacter sepedonicus,,,"('ClavibacterMichiganensisSepedonicus-PHT',)","('CORBSE',)"
1748,pourriture brune de la pomme de terre,fr,,Ralstonia solanacearum,,,"('RalstoniaSolanacearum-PHT',)","('RALSSL',)"
1750,Бурая гниль картофеля,ru,,Ralstonia solanacearum,,,"('RalstoniaSolanacearum-PHT',)","('RALSSL',)"
1752,Anaheim disease,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1754,California vine disease,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1756,citrus variegated chlorosis,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1758,dwarf disease of alfalfa,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1760,dwarf disease of lucerne,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1762,leaf scorch of almond,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1764,leaf scorch of maple,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1766,olive quick decline syndrome,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1768,peach phony disease,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1770,Pierce's disease of grapevine,en,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1772,maladie de Pierce,fr,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1774,enanismo de la alfalfa,es,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1776,enfermedad de Pierce,es,,Xylella fastidiosa,,,"('XylellaFastidiosa-PHT',)","('XYLEFA',)"
1778,canker of sycamore,en,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1780,canker stain of plane,en,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1782,chancre coloré du platane,fr,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT', 'CeratocystisFimbriata-PHT')","('CERAFP',)"
1785,tache chancreuse du platane,fr,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1787,chancro colorado del plátano,es,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1789,cancro colorato del platano,it,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1791,platanensterfte,nl,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1793,cancro-do-azulamento-do-plátano,pt,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1795,platanvissnesjuka,sv,,Ceratocystis platani,,,"('CeratocystisPlatani-PHT',)","('CERAFP',)"
1797,pitch canker of pine,en,,Fusarium circinatum,,,"('FusariumCircinatum-PHT',)","('GIBBCI',)"
1799,chancre résineux du pin,fr,,Fusarium circinatum,,,"('FusariumCircinatum-PHT',)","('GIBBCI',)"
1801,thousand cankers disease,en,,Geosmithia morbida,,,"('GeosmithiaMorbida-PHT',)","('GEOHMO',)"
1803,black scab of potato,en,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1805,black wart of potato,en,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1807,wart disease of potato,en,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1809,wart of potato,en,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1811,galle verruqueuse de la pomme de terre,fr,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1813,maladie verruqueuse de la pomme de terre,fr,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1815,tumeur verruqueuse de la pomme de terre,fr,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1817,sarna negra de la papa,es,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1819,sarna verrugosa de la patata,es,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1821,Рак картофеля,ru,,Synchytrium endobioticum,,,"('SynchytriumEndobioticum-PHT',)","('SYNCEN',)"
1823,citrus mealywing,en,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT')","('ALECSN',)"
1826,citrus spiny whitefly,en,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT')","('ALECSN',)"
1829,orange spiny whitefly,en,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT')","('ALECSN',)"
1832,spiny blackfly,en,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT')","('ALECSN',)"
1835,aleurode épineux du citronnier,fr,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT', 'BemisiaTabaci-PHT')","('ALECSN',)"
1839,djeroek-motschildluis,nl,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT')","('ALECSN',)"
1842,mikan-toge-konazirami,ja,,Aleurocanthus spiniferus,,,"('Aleurocanthus-PHT', 'AleurocanthusSpiniferus-PHT')","('ALECSN',)"
1845,black and white longhorn,en,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1847,citrus longhorn,en,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1849,citrus long-horned beetle,en,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1851,white-spotted longicorn beetle,en,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1853,Citrusbockkäfer,de,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1855,capricorne asiatique des agrumes,fr,,Anoplophora chinensis,,,"('AnoplophoraGlabripennis-PHT', 'AnoplophoraChinensis-PHT')","('ANOLCN',)"
1858,tarlo asiatico,it,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1860,Oost-Aziatische boktor,nl,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1862,besouro-asiático,pt,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1864,gomadara-kamikiri,ja,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1866,hosi-kamikiri,ja,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1868,ゴマダラカミキリ,ja,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1870,ホシカミキリ,ja,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1872,усач китайский,ru,,Anoplophora chinensis,,,"('AnoplophoraChinensis-PHT',)","('ANOLCN',)"
1874,cerambicide dal collo rosso,it,,Aromia bungii,,,"('AnthonomusEugeniiCano-PHT', 'AromiaBungii-PHT')","('AROMBU',)"
1877,walnut twig beetle,en,,Pityophthorus juglandis,,,"('PityophthorusJuglandis-PHT',)","('PITOJU',)"
1879,Japanese beetle,en,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1881,Japankäfer,de,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1883,hanneton japonais,fr,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1885,scarabée japonais,fr,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1887,escarabajo japonés,es,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1889,scarabeo giapponese,it,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1891,japanbagge,sv,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1893,mame-kogane,ja,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1895,マメコガネ,ja,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1897,Японский жук,ru,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1899,japanbille,da,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1900,japanbille,no,,Popillia japonica,,,"('PopilliaJaponica-PHT',)","('POPIJA',)"
1903,brown citrus aphid,en,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1905,oriental black citrus aphid,en,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1907,tropical citrus aphid,en,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1909,braune Citrusblattlaus,de,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1911,braune Zitrusblattlaus,de,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1913,braune Zitruslaus,de,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1915,puceron toxoptère citricide,fr,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1917,puceron tropical de l'oranger,fr,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1919,afido vector de la tristeza en cítricos,es,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1921,piojo de los cítricos,es,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1923,pulgón café de los cítricos,es,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1925,pulgón citricida,es,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1927,pulgón de la tristeza,es,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1929,pulgón de los citrus,es,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
1931,pulgão-preto-da-laranjeira,pt,,Aphis citricidus,,,"('ToxopteraCitricida-PHT',)","('TOXOCI',)"
